N,P,K,temperature,humidity,ph,rainfall,irigasi,label
2,2,3,2,3,2,3,1,Padi
2,2,3,3,3,2,3,1,Padi
2,2,3,2,3,2,3,1,Padi
3,2,3,2,3,2,3,1,Padi
2,2,3,2,3,2,3,1,Padi
2,3,3,2,3,2,3,1,Padi
3,2,3,3,3,1,3,1,Padi
2,3,3,3,3,1,3,1,Padi
3,3,3,2,3,2,2,1,Padi
3,2,3,3,3,2,3,1,Padi
2,2,3,2,3,2,3,1,Padi
3,2,3,2,3,2,3,1,Padi
2,2,3,2,3,2,3,1,Padi
2,2,3,2,3,2,3,1,Padi
2,2,1,2,2,2,1,0,Jagung
2,2,1,3,3,2,2,0,Jagung
2,3,2,1,2,2,1,0,Jagung
2,2,2,1,2,2,1,0,Jagung
2,2,1,2,2,2,2,0,Jagung
3,2,1,3,2,2,2,1,Jagung
2,3,1,3,2,2,1,0,Jagung
2,2,1,2,2,2,1,1,Jagung
2,3,2,2,2,2,2,0,Jagung
2,2,2,2,2,2,1,0,Jagung
2,2,1,2,2,2,1,1,Jagung
3,2,1,1,2,2,1,1,Jagung
2,2,2,3,2,2,1,1,Jagung
2,3,2,1,2,2,1,0,Jagung
2,2,1,2,3,2,2,0,Jagung
2,2,1,3,2,2,1,1,Jagung
2,2,1,2,2,2,1,0,Jagung
2,2,1,1,2,2,1,0,Jagung
3,1,2,2,2,2,2,0,Kopi
3,1,2,2,2,2,2,0,Kopi
3,1,2,2,1,2,2,0,Kopi
3,1,2,2,1,2,2,0,Kopi
3,1,2,3,1,2,2,0,Kopi
3,1,2,3,2,2,2,0,Kopi
2,2,2,3,2,2,2,0,Kopi
2,1,2,3,1,2,2,0,Kopi
3,1,2,3,2,2,2,0,Kopi
2,1,2,3,2,2,2,0,Kopi
2,1,2,2,2,2,2,0,Kopi
3,1,2,2,2,2,2,0,Kopi
3,1,2,3,2,2,2,0,Kopi
